roll, pitch, yaw,nr,time
-151.49,-2.05,-157.65,0,Tue Oct  3 19:48:36 2017
-151.49,-2.05,0.01,1,Tue Oct  3 19:48:36 2017
-151.5,-2.05,0.04,2,Tue Oct  3 19:48:36 2017
-151.5,-2.05,0.05,3,Tue Oct  3 19:48:36 2017
-151.49,-2.05,0.04,4,Tue Oct  3 19:48:36 2017
-151.49,-2.05,0.04,5,Tue Oct  3 19:48:36 2017
-151.49,-2.05,0.05,6,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.04,7,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.04,8,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.04,9,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.04,10,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.03,11,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.03,12,Tue Oct  3 19:48:37 2017
-151.48,-2.04,0.03,13,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.04,14,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.04,15,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.06,16,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.05,17,Tue Oct  3 19:48:37 2017
-151.48,-2.06,0.05,18,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.09,19,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.09,20,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.1,21,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.1,22,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.11,23,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.11,24,Tue Oct  3 19:48:37 2017
-151.47,-2.05,0.13,25,Tue Oct  3 19:48:37 2017
-151.48,-2.05,0.13,26,Tue Oct  3 19:48:38 2017
-151.48,-2.05,0.15,27,Tue Oct  3 19:48:38 2017
-151.47,-2.05,0.16,28,Tue Oct  3 19:48:38 2017
-151.47,-2.05,0.16,29,Tue Oct  3 19:48:38 2017
-151.47,-2.06,0.16,30,Tue Oct  3 19:48:38 2017
-151.47,-2.06,0.16,31,Tue Oct  3 19:48:38 2017
-151.42,-2.06,0.17,32,Tue Oct  3 19:48:38 2017
-151.44,-2.06,0.17,33,Tue Oct  3 19:48:38 2017
-151.41,-2.05,0.17,34,Tue Oct  3 19:48:38 2017
-151.42,-2.05,0.18,35,Tue Oct  3 19:48:38 2017
