hr,gsr,rr,t_start_eis,t_start_video
69,107,905,1507289554.206694,1507289914.300369
68,107,879,,
68,107,882,,
68,107,915,,
68,107,929,,
68,107,938,,
67,108,932,,
67,108,934,,
66,108,922,,
66,108,877,,
67,108,875,,
66,108,915,,
66,109,932,,
66,109,925,,
66,109,871,,
67,109,840,,
68,109,862,,
68,109,863,,
69,109,822,,
70,109,800,,
70,109,816,,
69,109,833,,
69,109,892,,
68,109,929,,
67,109,929,,
67,109,939,,
67,109,927,,
68,109,929,,
68,109,873,,
68,109,824,,
68,109,841,,
67,109,876,,
66,109,938,,
66,109,949,,
66,109,949,,
66,110,937,,
66,110,947,,
66,110,923,,
67,110,926,,
67,110,886,,
66,110,855,,
66,110,862,,
65,110,888,,
65,110,965,,
65,110,971,,
66,110,958,,
66,111,958,,
66,111,948,,
65,111,881,,
65,111,857,,
64,111,880,,
64,111,922,,
65,111,980,,
65,111,962,,
65,111,970,,
65,111,957,,
64,111,894,,
64,111,897,,
64,111,929,,
64,111,958,,
64,111,966,,
64,111,980,,
64,111,922,,
64,111,922,,
64,111,942,,
65,111,955,,
65,111,954,,
65,111,940,,
65,111,940,,
65,111,896,,
65,111,861,,
65,111,886,,
65,111,926,,
65,111,936,,
66,111,939,,
67,111,928,,
67,111,927,,
67,111,909,,
66,111,915,,
66,111,889,,
66,111,839,,
65,111,833,,
66,111,855,,
66,111,927,,
66,111,965,,
66,112,956,,
66,112,943,,
65,112,959,,
65,112,916,,
65,112,864,,
66,112,851,,
66,112,878,,
66,112,923,,
66,112,951,,
65,113,951,,
65,113,968,,
65,113,932,,
65,113,870,,
65,113,866,,
66,113,867,,
67,113,914,,
67,113,965,,
67,113,962,,
66,113,949,,
65,113,929,,
64,113,917,,
64,113,910,,
64,113,873,,
63,113,833,,
63,113,849,,
63,113,868,,
64,113,897,,
65,113,982,,
66,113,1035,,
66,113,1009,,
65,113,994,,
65,113,977,,
64,113,967,,
64,113,946,,
65,113,922,,
65,113,863,,
65,113,840,,
65,113,848,,
65,113,889,,
64,113,955,,
64,113,963,,
64,113,959,,
65,113,961,,
66,113,938,,
66,113,875,,
66,113,882,,
65,113,908,,
65,113,954,,
65,113,966,,
66,114,958,,
66,114,947,,
66,113,941,,
66,113,880,,
65,114,846,,
65,114,869,,
65,114,916,,
66,114,943,,
66,114,945,,
66,114,957,,
66,114,896,,
66,114,852,,
65,114,869,,
65,114,907,,
65,114,932,,
65,114,936,,
66,114,949,,
66,114,955,,
66,114,919,,
65,114,865,,
65,114,864,,
65,114,889,,
65,114,923,,
65,114,939,,
65,114,964,,
65,114,945,,
65,114,955,,
65,114,908,,
65,114,871,,
65,114,881,,
65,114,912,,
66,114,929,,
66,114,949,,
66,114,951,,
66,113,916,,
66,113,931,,
67,113,948,,
67,113,942,,
68,113,913,,
68,113,870,,
70,113,893,,
71,113,928,,
71,113,923,,
72,113,934,,
73,113,893,,
73,113,886,,
73,113,925,,
73,113,924,,
74,113,862,,
73,113,883,,
73,113,899,,
73,113,880,,
73,113,836,,
72,113,847,,
72,113,842,,
72,113,791,,
72,113,782,,
72,113,794,,
72,113,799,,
72,113,779,,
72,113,765,,
72,113,783,,
72,113,804,,
72,113,817,,
72,113,814,,
72,112,806,,
72,113,811,,
73,112,840,,
74,112,856,,
74,112,835,,
74,112,838,,
74,113,847,,
75,112,850,,
75,112,843,,
75,112,805,,
74,112,817,,
74,112,832,,
74,112,842,,
75,112,819,,
75,112,809,,
74,112,836,,
74,112,849,,
74,112,850,,
73,112,821,,
73,112,812,,
73,112,833,,
73,113,831,,
73,113,819,,
74,113,780,,
75,113,779,,
75,113,796,,
76,113,813,,
77,113,822,,
78,113,805,,
80,112,765,,
80,111,772,,
81,111,795,,
80,111,814,,
80,111,820,,
80,111,814,,
81,111,820,,
81,110,779,,
81,110,787,,
80,111,806,,
80,111,839,,
80,111,821,,
80,111,814,,
80,111,839,,
81,111,848,,
81,111,847,,
81,111,802,,
