hr,t_start_video,gsr,rr,t_start_eis
40,1506436036.40462,73,1487,1506435995.496089
40,,73,1458,
40,,73,1419,
41,,73,1376,
41,,73,1389,
41,,73,1285,
43,,73,1368,
43,,73,1363,
45,,73,1121,
45,,73,1143,
44,,73,,
44,,73,,
49,,73,,
51,,73,,
51,,71,1103,
52,,71,1101,
53,,71,1061,
55,,71,1047,
56,,71,1061,
57,,71,1012,
58,,71,926,
61,,70,878,
65,,69,812,
70,,71,787,
63,,71,,1008
60,,73,,1058
57,,73,,1113
59,,73,,993
59,,73,,1003
59,,73,,1132
56,,73,,1209
53,,74,,1115
54,,74,,1136
53,,75,,
55,,75,,1074
54,,75,,1131
54,,75,,1276
50,,75,,1239
49,,75,,1194
50,,75,,1309
48,,75,,1210
49,,76,,1218
49,,76,,
49,,76,,
47,,76,,1316
48,,76,,1243
48,,77,,1259
48,,76,,1375
46,,76,,1364
45,,76,,1379
45,,77,,1427
44,,77,,1357
43,,77,,
43,,77,,
43,,77,,1385
43,,77,,1347
44,,77,,1500
44,,77,,1460
42,,77,,1424
42,,77,,1439
42,,77,,1337
42,,77,,
42,,77,,
43,,77,,
48,,77,,1153
48,,77,,1368
46,,77,,1573
42,,77,,1527
42,,77,,1509
40,,76,,1400
40,,75,,1437
40,,75,,1474
42,,74,,1487
42,,74,,1531
42,,73,,1500
41,,73,,1472
41,,71,,1359
41,,71,,1298
40,,72,,1408
40,,71,,1396
40,,69,,1235
40,,69,,1054
42,,68,,1160
44,,68,,1337
44,,69,,1252
44,,69,,1212
43,,70,,1127
46,,70,,1043
46,,71,,936
46,,71,,997
49,,71,,1132
47,,71,,1237
48,,71,,1274
48,,71,,1301
48,,71,,1287
51,,71,,1198
54,,71,,1212
54,,71,,1308
57,,71,,1347
55,,71,,1350
51,,71,,1348
49,,72,,1321
48,,72,,1356
48,,73,,1397
47,,73,,1299
49,,73,,1383
49,,73,,1345
47,,73,,1402
47,,73,,1401
46,,73,,
45,,73,,
45,,73,,
45,,73,,
45,,73,,
44,,73,,
44,,73,,
44,,73,,
45,,75,,
44,,74,,
44,,73,,
44,,72,,
44,,72,,
43,,72,,
