hr,gsr,rr,t_start_eis,t_start_video
70,122,1015,1507291535.227647,1507291894.879058
68,122,969,,
67,122,902,,
67,122,884,,
67,122,898,,
67,122,961,,
67,122,1019,,
66,122,1009,,
64,122,960,,
65,122,861,,
65,122,876,,
66,122,907,,
64,122,1138,,
63,122,1002,,
64,122,862,,
65,122,849,,
66,122,815,,
69,122,769,,
68,122,800,,
66,122,977,,
66,122,1079,,
65,122,1102,,
64,122,985,,
64,122,940,,
65,122,942,,
66,122,865,,
66,122,798,,
69,122,748,,
69,122,745,,
69,122,807,,
69,122,1350,,
69,122,1330,,
67,122,1298,,
66,122,1020,,
66,122,1025,,
65,122,990,,
65,122,946,,
65,122,916,,
66,121,957,,
67,122,855,,
67,121,796,,
67,122,773,,
67,122,845,,
67,122,934,,
66,121,1131,,
66,122,1055,,
66,121,914,,
65,121,855,,
64,121,933,,
64,121,999,,
64,122,1036,,
64,122,998,,
65,122,899,,
65,122,897,,
64,122,878,,
64,122,952,,
65,122,957,,
64,121,919,,
64,121,903,,
64,121,946,,
64,122,976,,
64,121,955,,
64,121,948,,
64,121,926,,
64,121,938,,
64,121,958,,
63,121,904,,
63,121,945,,
63,121,982,,
63,121,989,,
64,121,981,,
64,121,958,,
66,122,902,,
67,121,873,,
67,121,800,,
66,121,792,,
66,121,821,,
67,121,865,,
67,121,915,,
67,121,957,,
67,121,891,,
68,121,847,,
69,121,876,,
69,121,880,,
69,121,910,,
69,121,863,,
69,121,810,,
69,121,826,,
70,121,833,,
70,121,873,,
70,121,849,,
71,120,869,,
72,121,894,,
72,121,840,,
73,121,790,,
73,121,818,,
73,121,825,,
72,121,891,,
72,121,825,,
71,121,770,,
72,121,770,,
72,121,793,,
72,121,839,,
72,121,819,,
73,121,815,,
73,121,868,,
72,121,884,,
72,121,890,,
71,121,832,,
71,121,794,,
71,121,808,,
70,121,827,,
70,121,845,,
69,121,815,,
69,121,801,,
69,121,796,,
69,121,869,,
69,121,899,,
68,121,910,,
69,121,828,,
69,121,817,,
69,121,879,,
69,121,896,,
68,121,908,,
69,121,891,,
69,121,913,,
68,121,833,,
68,121,878,,
68,121,928,,
67,121,935,,
67,121,886,,
66,121,827,,
66,121,811,,
66,121,854,,
66,121,928,,
66,121,911,,
66,121,824,,
66,121,848,,
66,121,899,,
67,121,960,,
68,121,880,,
67,121,886,,
67,121,951,,
67,121,967,,
67,121,949,,
66,121,895,,
66,121,938,,
66,121,958,,
66,121,915,,
66,121,843,,
66,121,917,,
66,121,938,,
67,121,860,,
66,121,816,,
66,121,863,,
66,121,934,,
65,121,905,,
65,121,850,,
65,121,927,,
65,121,968,,
65,121,953,,
66,121,939,,
66,121,853,,
66,121,911,,
66,121,923,,
66,121,930,,
66,121,843,,
66,121,881,,
66,121,944,,
65,121,953,,
65,121,923,,
65,121,1002,,
65,121,932,,
65,121,882,,
65,121,960,,
66,121,940,,
65,121,925,,
64,121,835,,
65,121,847,,
65,121,903,,
65,121,938,,
64,121,897,,
64,121,960,,
63,121,946,,
64,121,867,,
64,121,881,,
64,121,966,,
63,121,963,,
64,121,890,,
64,121,924,,
64,121,975,,
65,121,903,,
66,121,851,,
66,121,970,,
65,121,1011,,
66,121,902,,
66,121,865,,
65,121,958,,
65,121,1050,,
66,121,913,,
66,121,984,,
66,121,991,,
67,121,908,,
67,121,894,,
69,121,963,,
72,121,992,,
73,121,887,,
74,121,918,,
76,121,931,,
77,121,864,,
79,121,826,,
79,121,897,,
80,121,961,,
80,121,924,,
81,121,880,,
83,121,908,,
84,121,958,,
83,121,933,,
83,121,839,,
83,121,898,,
80,121,919,,
78,121,896,,
75,121,776,,
75,121,736,,
72,121,729,,
72,121,762,,
73,121,733,,
73,121,718,,
75,121,733,,
76,121,770,,
76,121,736,,
75,121,713,,
73,121,699,,
72,121,697,,
72,121,720,,
73,121,735,,
73,121,747,,
72,121,725,,
72,121,684,,
70,121,662,,
69,121,653,,
69,121,678,,
68,121,764,,
69,121,897,,
69,121,931,,
70,121,882,,
69,121,885,,
68,121,949,,
67,121,1041,,
68,121,1052,,
68,121,913,,
68,121,791,,
67,121,791,,
67,121,807,,
66,121,765,,
67,121,734,,
68,121,730,,
67,121,774,,
67,121,890,,
66,121,974,,
65,121,954,,
66,121,870,,
67,121,776,,
67,121,748,,
68,121,786,,
67,121,914,,
68,121,927,,
69,121,960,,
69,121,887,,
69,121,919,,
69,121,936,,
70,121,924,,
71,121,833,,
72,121,804,,
72,121,838,,
73,121,940,,
73,121,985,,
74,121,968,,
75,121,870,,
75,121,832,,
74,121,884,,
74,121,940,,
74,121,964,,
75,121,926,,
75,121,924,,
75,121,819,,
75,121,810,,
74,121,871,,
74,121,973,,
74,121,975,,
74,121,990,,
74,121,965,,
75,121,889,,
75,121,811,,
76,121,842,,
74,121,863,,
74,121,924,,
74,121,871,,
73,121,804,,
74,121,804,,
75,121,852,,
75,121,911,,
75,121,887,,
73,121,852,,
72,121,773,,
71,121,750,,
71,121,775,,
72,121,814,,
73,121,852,,
73,121,766,,
72,121,772,,
70,121,787,,
69,121,743,,
69,121,774,,
70,121,776,,
70,121,853,,
69,121,811,,
69,121,848,,
68,121,776,,
69,121,755,,
69,121,782,,
69,121,796,,
68,121,834,,
68,121,787,,
67,121,829,,
67,121,816,,
67,121,785,,
67,121,815,,
68,121,820,,
68,121,813,,
68,121,769,,
68,121,740,,
69,121,765,,
70,121,830,,
69,121,892,,
67,121,832,,
67,121,817,,
67,121,846,,
66,121,800,,
67,121,750,,
68,121,736,,
68,121,774,,
68,121,875,,
68,121,925,,
68,121,941,,
68,121,893,,
67,121,880,,
66,121,818,,
67,121,776,,
68,121,755,,
69,121,801,,
69,121,863,,
69,121,931,,
68,121,967,,
69,121,1012,,
68,121,873,,
68,121,802,,
66,121,835,,
66,121,904,,
67,121,947,,
67,121,964,,
67,121,882,,
67,121,815,,
68,121,818,,
68,121,882,,
68,121,946,,
69,121,944,,
70,121,915,,
71,121,952,,
71,121,940,,
70,121,844,,
68,121,808,,
68,121,843,,
68,121,922,,
69,121,904,,
69,121,833,,
69,121,791,,
69,121,798,,
69,121,887,,
68,121,963,,
68,121,1032,,
68,121,898,,
68,121,952,,
67,121,932,,
68,121,832,,
68,121,792,,
68,121,867,,
67,121,908,,
67,121,916,,
67,121,846,,
67,121,845,,
67,121,911,,
67,121,986,,
68,121,976,,
69,121,843,,
70,121,792,,
71,121,789,,
73,121,923,,
74,121,1432,,
75,121,887,,
77,121,841,,
78,121,854,,
79,121,957,,
80,121,1049,,
83,121,963,,
83,121,942,,
83,121,847,,
82,121,844,,
82,121,922,,
82,121,838,,
82,121,872,,
82,121,886,,
82,121,886,,
82,121,867,,
80,121,791,,
78,121,757,,
78,121,787,,
74,121,866,,
72,121,956,,
71,121,945,,
69,121,915,,
69,121,933,,
67,121,821,,
68,121,814,,
67,121,857,,
66,121,902,,
66,121,875,,
64,121,845,,
63,121,872,,
64,121,941,,
64,121,935,,
64,121,857,,
64,121,889,,
64,121,931,,
62,121,849,,
60,121,895,,
61,121,855,,
62,121,869,,
63,121,964,,
64,121,939,,
66,121,859,,
66,121,917,,
67,121,903,,
66,121,881,,
64,121,864,,
64,121,779,,
64,121,795,,
65,121,804,,
67,121,775,,
67,121,745,,
66,121,729,,
66,121,758,,
65,121,713,,
65,121,713,,
64,121,724,,
64,121,747,,
62,121,747,,
61,121,691,,
61,121,666,,
63,121,650,,
64,121,666,,
64,121,710,,
64,121,751,,
65,121,739,,
65,121,738,,
64,121,723,,
64,121,734,,
64,121,1434,,
64,121,1383,,
65,121,1144,,
65,121,852,,
64,121,819,,
65,121,955,,
65,121,1198,,
65,121,1039,,
65,121,855,,
65,121,952,,
65,121,1053,,
64,121,1096,,
64,121,913,,
64,121,831,,
63,121,903,,
63,121,1071,,
63,121,1247,,
64,121,1047,,
64,121,995,,
64,121,849,,
63,121,850,,
63,121,1016,,
62,121,1433,,
61,121,1309,,
60,121,1139,,
61,121,969,,
62,121,884,,
61,121,846,,
61,121,852,,
63,121,795,,
62,121,853,,
62,121,840,,
63,121,867,,
63,121,1040,,
61,121,1108,,
62,121,982,,
61,121,912,,
61,121,812,,
62,121,774,,
62,121,810,,
61,121,901,,
61,121,1026,,
62,121,989,,
62,121,961,,
61,121,969,,
61,121,1073,,
62,121,1166,,
61,121,1101,,
60,121,984,,
61,121,840,,
62,121,840,,
62,121,871,,
62,121,920,,
62,121,903,,
61,121,851,,
60,121,964,,
61,121,985,,
60,121,902,,
61,121,958,,
62,121,976,,
63,121,898,,
64,121,860,,
64,121,932,,
64,121,1006,,
64,121,879,,
63,121,845,,
62,121,924,,
62,121,951,,
62,121,889,,
63,121,970,,
62,121,1097,,
61,121,958,,
62,121,915,,
62,121,1036,,
62,121,1006,,
61,121,884,,
62,121,834,,
62,121,919,,
61,121,1034,,
61,121,1029,,
61,121,890,,
61,121,1069,,
61,121,1240,,
61,121,1021,,
61,121,890,,
61,121,930,,
61,121,1029,,
62,121,959,,
62,121,872,,
61,121,911,,
62,121,1033,,
62,121,928,,
62,121,889,,
63,121,1000,,
62,121,1141,,
62,121,917,,
64,121,1015,,
64,121,1038,,
63,121,914,,
63,121,958,,
63,121,1086,,
63,121,984,,
63,121,877,,
64,121,977,,
64,121,1049,,
64,121,935,,
64,121,918,,
63,121,1080,,
64,121,1102,,
64,121,922,,
64,121,845,,
65,121,955,,
65,121,970,,
65,121,935,,
65,121,1085,,
65,121,1148,,
65,121,946,,
66,121,999,,
66,121,955,,
66,121,843,,
66,121,844,,
65,121,888,,
64,121,932,,
64,121,877,,
63,121,985,,
64,121,1106,,
64,121,933,,
63,121,992,,
62,121,1031,,
62,121,916,,
62,121,914,,
61,121,1069,,
61,121,1048,,
61,121,904,,
60,121,916,,
61,121,1077,,
62,121,1023,,
62,121,895,,
63,121,980,,
64,121,1031,,
65,121,976,,
64,121,945,,
63,121,1044,,
63,121,1038,,
63,121,916,,
63,121,958,,
63,121,1035,,
65,121,996,,
65,121,893,,
65,121,981,,
