hr,t_start_video,gsr,t_start_eis,rr
54,1506677217.30404,97,1506677037.194004,868
56,,97,1218,806
56,,97,1207,837
58,,97,1137,1174
57,,96,1109,1292
57,,95,1026,1311
57,,95,1108,1259
57,,95,1253,1201
56,,96,1225,1143
55,,96,1169,1254
55,,96,1158,1279
54,,96,1102,1285
54,,96,1054,1305
53,,96,987,1161
52,,97,1025,1089
51,,97,1136,1133
51,,97,1189,1216
51,,97,1125,1242
52,,97,993,1198
52,,96,970,1245
52,,96,1122,1193
51,,96,1105,1062
51,,96,1073,998
51,,96,923,1143
51,,96,892,1222
50,,95,1058,1254
51,,95,1016,1307
52,,95,1047,1263
52,,95,1144,1227
52,,95,1172,1212
51,,95,1134,1145
51,,95,1084,1166
51,,95,1015,1202
51,,95,895,1195
52,,95,821,1205
53,,95,864,1172
53,,95,933,1170
52,,95,990,1252
52,,96,1036,1271
52,,96,1004,1189
52,,96,960,1150
52,,96,942,1131
52,,96,1020,1016
53,,96,1114,816
54,,96,1158,871
54,,96,1159,1031
54,,95,1139,1077
54,,95,1097,1113
53,,95,1013,1143
54,,95,956,1152
55,,95,1060,1121
55,,95,1143,1041
55,,95,1160,1009
55,,95,1102,1003
55,,95,1142,946
56,,95,1141,836
58,,95,1104,792
57,,95,1156,894
58,,95,1176,1070
58,,95,1144,1104
57,,95,1162,1115
56,,95,1256,1053
56,,95,1280,1061
56,,95,1214,1079
56,,95,1084,1094
57,,95,896,1108
57,,95,1012,1097
59,,95,1221,1075
59,,95,1264,1016
60,,95,1247,1022
59,,95,1166,1085
59,,95,1114,1055
60,,95,1084,1048
60,,95,1189,905
60,,95,1259,808
59,,95,1318,1025
58,,95,1309,1221
58,,95,1225,1233
57,,95,1244,1212
57,,95,1230,1218
57,,95,1215,1117
58,,95,1267,961
58,,95,1333,1107
57,,95,1185,1228
57,,95,1082,1238
56,,95,1282,1208
56,,95,1302,1019
56,,95,1268,991
55,,95,1265,1048
55,,95,1250,1147
55,,95,1246,1225
54,,95,1277,1207
54,,95,1235,1192
54,,95,1258,1233
54,,95,1282,1290
53,,95,1266,1250
52,,95,1260,1235
52,,95,1326,1218
52,,95,1312,1185
52,,95,1339,1217
54,,95,1367,1306
55,,95,1213,1340
54,,95,1298,1355
53,,95,1282,1334
52,,95,1206,1302
52,,95,1235,1236
52,,95,1291,1230
52,,95,1333,1253
53,,95,1410,1254
52,,95,1341,1243
52,,95,1304,1241
51,,95,1434,1156
51,,95,1434,1279
50,,95,1468,1314
50,,95,1497,1309
50,,95,1565,1196
50,,95,1477,1105
50,,95,1517,1256
50,,95,1499,1268
49,,95,1416,1277
49,,95,1310,1326
49,,95,1361,1394
50,,95,1308,1417
50,,95,1346,1413
49,,95,1339,1367
49,,95,1327,1347
