hr,t_start_video,gsr,rr,t_start_eis
49,1506435361.041456,98,1187,1506435170.011666
50,,98,1072,
53,,98,1100,
54,,98,1324,
49,,98,1337,
49,,98,1319,
47,,98,1181,
46,,98,1062,
49,,97,1101,
52,,97,1208,
53,,97,1208,
52,,97,,
52,,97,,
51,,97,,
49,,95,1242,
48,,95,1271,
49,,95,1208,
49,,95,1251,
49,,95,1305,
47,,95,1329,
46,,95,1346,
46,,95,1346,
46,,95,,
45,,95,,
44,,96,,1349
44,,95,,1378
44,,95,,1379
43,,95,,1359
43,,95,,1333
44,,95,,1328
44,,95,,1362
45,,95,,
45,,95,,
44,,95,,
44,,95,,1359
44,,95,,1369
44,,95,,1328
45,,95,,1404
44,,95,,1273
44,,95,,1203
45,,95,,1130
48,,94,,1211
50,,94,,
50,,94,,
48,,95,,1333
48,,95,,1371
46,,95,,1426
44,,95,,1312
44,,95,,1243
45,,95,,1269
46,,95,,1310
47,,94,,
46,,94,,
46,,94,,
46,,94,,1333
46,,94,,1314
46,,94,,1300
46,,94,,1322
45,,94,,1301
46,,94,,1225
47,,94,,1182
49,,94,,1273
49,,94,,
48,,93,,
48,,93,,1247
50,,93,,1177
53,,92,,1059
55,,90,,1052
57,,90,,1028
55,,90,,1136
55,,91,,1202
52,,91,,1241
50,,91,,1220
50,,91,,
50,,91,,1166
52,,91,,1122
51,,91,,1179
51,,91,,1212
50,,91,,1228
50,,91,,1280
48,,91,,1277
48,,91,,1250
48,,91,,
48,,91,,
47,,91,,1266
47,,91,,1303
47,,91,,1342
46,,91,,1242
47,,91,,1242
47,,91,,1388
45,,91,,1412
45,,91,,1340
44,,91,,
44,,91,,
44,,91,,1400
44,,91,,1368
44,,91,,1435
43,,91,,1442
43,,91,,1483
42,,91,,1440
41,,91,,1402
41,,91,,
42,,91,,
42,,91,,
42,,91,,1420
42,,91,,1342
44,,91,,1292
45,,93,,1303
45,,115,,1348
45,,127,,1390
45,,127,,1404
44,,127,,
44,,127,,
43,,127,,
44,,127,,1343
46,,127,,1279
46,,93,,1295
46,,91,,1301
46,,89,,1247
47,,89,,1150
49,,89,,1167
50,,89,,1267
50,,89,,
49,,89,,
46,,89,,1377
45,,89,,1405
45,,91,,1316
45,,91,,1341
45,,91,,1394
45,,91,,1332
44,,91,,1310
45,,91,,1300
45,,91,,
46,,91,,
46,,92,,1339
45,,92,,1299
46,,92,,1376
45,,92,,1338
45,,93,,1089
45,,93,,869
50,,93,,761
50,,91,,771
50,,91,,739
65,,90,,
78,,89,,730
80,,89,,722
81,,89,,727
78,,88,,735
76,,89,,812
75,,89,,808
73,,88,,788
70,,88,,815
68,,88,,849
69,,88,,900
,,,,899
,,,,868
67,,89,,904
64,,89,,950
63,,89,,954
63,,89,,967
62,,89,,957
61,,89,,985
61,,89,,1002
59,,89,,1005
60,,89,,1055
60,,89,,964
,,,,994
61,,89,,977
59,,89,,1026
59,,89,,1270
53,,89,,1220
51,,89,,1206
51,,90,,1140
52,,89,,1170
51,,89,,1194
51,,89,,
51,,89,,
52,,89,,1113
51,,89,,1207
55,,89,,1025
53,,89,,1171
50,,89,,1293
50,,89,,1320
47,,89,,1234
48,,89,,1192
49,,88,,1181
50,,87,,
50,,87,,1151
51,,87,,1122
52,,87,,1218
51,,87,,1225
50,,88,,1087
52,,87,,1056
55,,87,,1239
51,,87,,1440
51,,87,,
47,,87,,
44,,87,,1427
44,,87,,1428
43,,88,,1473
42,,88,,1500
42,,88,,1378
41,,88,,1400
43,,88,,1392
43,,89,,
43,,89,,
43,,89,,
41,,89,,1492
41,,89,,1486
41,,89,,1366
42,,89,,1462
42,,89,,1399
42,,89,,1376
42,,89,,1334
43,,89,,
43,,89,,
44,,89,,
45,,89,,1295
45,,89,,1363
45,,89,,1442
43,,89,,1305
45,,89,,1349
45,,89,,1306
44,,89,,1245
45,,89,,1238
47,,89,,1382
47,,89,,1297
47,,89,,1336
45,,89,,1284
46,,89,,1315
45,,89,,1396
45,,89,,1349
46,,89,,1355
46,,89,,1398
45,,89,,1337
45,,90,,1359
44,,90,,1264
44,,90,,1208
44,,90,,1249
44,,91,,1249
44,,91,,1109
44,,91,,1183
46,,91,,1309
46,,91,,1429
48,,90,,1471
48,,87,,1415
48,,87,,1426
51,,87,,1345
51,,87,,1249
51,,87,,1185
48,,87,,1295
45,,87,,1365
45,,87,,1429
43,,88,,1250
43,,88,,1299
42,,88,,1344
42,,88,,1364
44,,88,,1418
46,,87,,1363
48,,87,,1207
47,,86,,1288
47,,85,,1335
46,,85,,1343
44,,85,,1375
44,,86,,1347
46,,87,,1335
46,,87,,1402
45,,87,,1503
45,,87,,1502
45,,87,,1479
43,,87,,1405
44,,87,,1355
44,,87,,1427
47,,86,,1479
47,,86,,1434
46,,86,,1364
45,,86,,1193
45,,87,,1094
45,,87,,1391
45,,87,,1632
45,,87,,1572
45,,87,,1481
44,,87,,1439
42,,87,,1422
42,,85,,1398
41,,82,,
41,,84,,
41,,81,,
42,,83,,
43,,83,,
43,,83,,
42,,85,,
42,,85,,
42,,85,,
42,,85,,
43,,85,,
46,,85,,
51,,85,,
51,,86,,
47,,86,,
42,,86,,
42,,86,,
40,,87,,
40,,87,,
40,,87,,
41,,87,,
42,,87,,
42,,87,,
