hr,gsr,rr,t_start_eis,t_start_video
52,109,1193,1507293279.869523,1507293639.523215
52,109,1045,,
52,109,1095,,
53,109,1171,,
52,109,1016,,
53,109,875,,
55,108,846,,
55,108,1070,,
55,108,1218,,
55,108,1272,,
54,108,1197,,
54,109,1181,,
53,109,1175,,
53,109,1148,,
53,109,1096,,
52,108,1075,,
53,108,1172,,
53,108,1253,,
53,108,1247,,
53,108,1187,,
52,108,1218,,
52,108,1156,,
52,109,1167,,
51,109,1251,,
51,109,1300,,
51,109,1248,,
51,109,1188,,
51,109,1242,,
50,108,1281,,
50,108,1217,,
50,108,1247,,
50,108,1242,,
50,108,1210,,
49,108,1235,,
49,108,1272,,
49,108,1261,,
49,108,1174,,
49,108,1169,,
49,108,1217,,
49,108,1209,,
49,108,1134,,
49,108,1118,,
49,108,1210,,
49,108,1247,,
49,109,1120,,
49,109,1085,,
49,109,1177,,
49,109,1224,,
50,109,1138,,
50,109,1239,,
50,109,1291,,
50,109,1185,,
50,109,1203,,
50,109,1239,,
51,109,1135,,
51,109,1143,,
51,109,1249,,
51,109,1196,,
51,109,1192,,
51,109,1222,,
50,109,1158,,
50,109,1073,,
50,109,1114,,
50,109,1158,,
50,109,1090,,
50,109,1111,,
50,109,1199,,
50,109,1196,,
50,109,1117,,
50,109,1172,,
50,109,1186,,
50,109,1144,,
50,109,1096,,
51,109,1138,,
51,109,1157,,
51,109,1110,,
52,109,1155,,
52,109,1142,,
52,109,1122,,
52,109,1072,,
52,109,1119,,
52,109,1216,,
52,109,1180,,
52,109,1071,,
52,109,1111,,
52,109,1162,,
52,109,1133,,
52,109,1070,,
52,109,1171,,
52,109,1207,,
52,109,1084,,
52,109,1083,,
52,109,1131,,
53,109,1197,,
53,109,1147,,
52,109,1137,,
52,109,1143,,
52,109,1085,,
53,109,1097,,
53,109,1114,,
53,109,1105,,
53,109,1024,,
53,109,1045,,
53,109,1074,,
53,109,1043,,
53,109,1039,,
53,109,1108,,
53,109,1195,,
53,109,1121,,
53,109,1086,,
53,109,1097,,
53,109,1055,,
52,109,1044,,
52,109,1079,,
53,109,1088,,
53,109,1100,,
53,109,1116,,
53,109,1118,,
54,109,1037,,
54,109,1037,,
55,109,1076,,
55,109,1077,,
55,109,1013,,
55,109,1044,,
54,109,1071,,
54,109,1045,,
54,109,1022,,
54,109,1067,,
54,109,1116,,
55,109,1061,,
55,109,1135,,
55,109,1115,,
55,109,1053,,
55,109,1101,,
55,109,1121,,
55,109,1092,,
55,109,1058,,
56,109,1092,,
56,109,1108,,
56,109,1040,,
56,109,1063,,
56,109,1155,,
56,109,1158,,
