hr,gsr,rr,t_start_eis,t_end_eis,t_start_video
72,103,774,1507292497.329677,1507292567.17818,1507292747.261006
73,103,741,,,
73,103,738,,,
72,103,891,,,
71,103,1022,,,
69,103,994,,,
69,103,876,,,
69,103,900,,,
68,103,982,,,
67,103,960,,,
67,103,917,,,
68,103,860,,,
69,103,789,,,
69,103,807,,,
69,103,843,,,
68,103,889,,,
70,101,932,,,
70,100,720,,,
70,99,837,,,
72,98,697,,,
72,99,707,,,
72,99,745,,,
72,99,772,,,
72,99,859,,,
73,99,874,,,
73,99,846,,,
77,99,821,,,
77,99,738,,,
77,99,655,,,
77,100,639,,,
76,100,648,,,
75,100,661,,,
74,101,773,,,
73,101,859,,,
73,101,854,,,
73,101,824,,,
73,101,843,,,
73,101,902,,,
72,101,919,,,
71,101,854,,,
70,101,848,,,
70,101,825,,,
70,101,830,,,
70,101,813,,,
70,101,828,,,
70,101,869,,,
70,101,902,,,
69,101,971,,,
71,101,890,,,
71,101,815,,,
72,101,865,,,
71,101,877,,,
71,101,872,,,
70,101,868,,,
69,101,861,,,
71,101,899,,,
71,101,856,,,
72,101,758,,,
71,101,794,,,
71,101,804,,,
71,101,896,,,
73,101,900,,,
73,101,928,,,
72,102,907,,,
70,102,835,,,
69,102,771,,,
70,102,778,,,
71,102,801,,,
71,101,888,,,
70,101,908,,,
69,101,856,,,
68,101,777,,,
68,101,740,,,
69,101,789,,,
69,101,964,,,
69,101,1037,,,
71,101,948,,,
71,101,911,,,
72,101,780,,,
72,101,774,,,
73,101,785,,,
75,101,954,,,
75,101,1008,,,
75,101,948,,,
76,102,839,,,
76,102,823,,,
76,102,823,,,
76,102,880,,,
77,102,839,,,
78,102,769,,,
78,102,811,,,
78,103,801,,,
78,103,813,,,
78,103,806,,,
78,103,761,,,
77,103,730,,,
78,103,767,,,
80,102,780,,,
80,101,794,,,
80,101,776,,,
82,101,706,,,
85,101,800,,,
85,101,760,,,
84,101,793,,,
83,101,790,,,
83,101,727,,,
85,101,723,,,
85,101,722,,,
86,101,746,,,
87,101,774,,,
87,101,794,,,
87,102,769,,,
85,102,746,,,
85,102,800,,,
84,102,810,,,
82,102,704,,,
81,102,707,,,
80,102,710,,,
79,103,745,,,
79,103,711,,,
78,103,686,,,
76,103,657,,,
75,103,633,,,
73,103,656,,,
73,103,665,,,
75,103,765,,,
75,103,755,,,
75,103,765,,,
73,103,718,,,
72,103,692,,,
71,103,644,,,
71,103,618,,,
72,103,601,,,
72,103,610,,,
71,103,655,,,
69,103,756,,,
69,103,901,,,
69,103,899,,,
71,103,824,,,
71,101,741,,,
71,97,738,,,
72,93,762,,,
72,91,805,,,
70,91,850,,,
69,91,858,,,
69,91,813,,,
69,91,742,,,
69,91,801,,,
69,91,849,,,
70,92,925,,,
70,92,936,,,
70,93,920,,,
70,93,866,,,
71,93,753,,,
72,93,736,,,
72,93,774,,,
72,93,810,,,
70,94,942,,,
70,94,978,,,
71,94,937,,,
71,95,858,,,
73,95,763,,,
73,92,784,,,
73,91,839,,,
73,90,999,,,
71,91,976,,,
70,91,921,,,
70,91,846,,,
71,91,739,,,
72,91,687,,,
73,92,695,,,
74,92,782,,,
74,93,791,,,
74,93,790,,,
73,93,870,,,
75,93,1018,,,
76,93,990,,,
76,93,932,,,
76,93,827,,,
75,93,716,,,
75,94,670,,,
76,94,675,,,
77,94,754,,,
76,95,896,,,
74,95,985,,,
72,95,919,,,
71,95,816,,,
71,93,750,,,
73,91,754,,,
73,91,806,,,
73,91,897,,,
73,91,958,,,
75,91,900,,,
75,91,837,,,
78,91,763,,,
79,91,680,,,
82,92,675,,,
83,92,686,,,
83,91,837,,,
83,91,844,,,
82,92,979,,,
82,93,984,,,
82,93,936,,,
82,91,889,,,
84,91,843,,,
84,91,778,,,
84,91,756,,,
84,91,748,,,
85,91,765,,,
86,91,781,,,
86,91,825,,,
85,91,830,,,
83,91,833,,,
84,91,775,,,
84,91,711,,,
87,91,740,,,
91,92,751,,,
93,92,802,,,
93,93,837,,,
93,93,853,,,
92,92,806,,,
93,91,743,,,
93,92,708,,,
97,92,769,,,
98,92,879,,,
98,93,987,,,
98,93,1007,,,
98,93,953,,,
95,93,796,,,
93,93,776,,,
92,93,768,,,
90,93,795,,,
90,93,833,,,
91,93,824,,,
92,93,774,,,
92,93,686,,,
92,93,643,,,
92,93,637,,,
94,93,639,,,
95,94,646,,,
96,94,637,,,
96,93,659,,,
96,93,689,,,
95,94,782,,,
94,94,814,,,
94,94,811,,,
96,94,784,,,
96,95,757,,,
96,94,702,,,
96,94,666,,,
96,94,625,,,
94,94,615,,,
92,94,625,,,
92,94,721,,,
93,94,959,,,
95,94,840,,,
97,94,718,,,
98,94,638,,,
98,94,656,,,
98,94,680,,,
96,94,718,,,
94,94,765,,,
94,94,775,,,
94,93,740,,,
95,93,687,,,
96,93,624,,,
98,93,597,,,
98,93,580,,,
98,93,564,,,
97,93,556,,,
97,93,560,,,
97,93,576,,,
97,93,634,,,
95,93,749,,,
95,93,745,,,
92,93,707,,,
91,93,665,,,
91,93,593,,,
90,93,578,,,
91,95,559,,,
92,95,550,,,
92,95,546,,,
92,95,556,,,
92,95,580,,,
92,95,634,,,
89,95,725,,,
88,95,807,,,
87,96,797,,,
87,96,800,,,
86,96,784,,,
85,97,740,,,
82,97,718,,,
80,97,662,,,
78,97,634,,,
77,97,620,,,
77,97,625,,,
78,97,610,,,
79,97,632,,,
81,97,661,,,
81,97,670,,,
82,97,659,,,
82,96,633,,,
82,95,611,,,
80,95,600,,,
80,95,597,,,
80,95,601,,,
80,95,581,,,
81,95,578,,,
81,95,678,,,
80,95,733,,,
80,95,733,,,
80,95,703,,,
80,95,664,,,
80,95,609,,,
79,95,594,,,
77,95,581,,,
77,95,583,,,
78,95,592,,,
80,96,654,,,
80,96,862,,,
79,96,847,,,
78,96,814,,,
76,96,760,,,
76,97,708,,,
77,97,657,,,
78,96,631,,,
78,96,620,,,
78,96,612,,,
78,96,598,,,
76,97,585,,,
75,97,570,,,
74,97,565,,,
75,97,593,,,
75,97,634,,,
76,95,722,,,
76,95,749,,,
76,95,719,,,
74,95,697,,,
74,95,680,,,
73,95,647,,,
74,95,632,,,
76,95,619,,,
75,95,620,,,
74,95,607,,,
74,96,587,,,
76,96,579,,,
77,96,582,,,
77,96,581,,,
77,97,631,,,
76,97,686,,,
76,97,708,,,
76,97,668,,,
76,97,625,,,
75,97,611,,,
74,97,610,,,
73,97,609,,,
73,97,645,,,
73,97,723,,,
72,97,765,,,
72,97,735,,,
72,97,702,,,
71,97,701,,,
71,98,698,,,
70,98,697,,,
70,98,666,,,
69,98,648,,,
70,98,634,,,
71,98,622,,,
71,98,628,,,
74,99,666,,,
73,99,787,,,
72,99,874,,,
71,99,804,,,
71,99,784,,,
72,99,747,,,
72,99,730,,,
73,99,715,,,
74,99,707,,,
75,99,711,,,
76,99,731,,,
77,99,768,,,
77,99,834,,,
78,99,857,,,
80,99,899,,,
81,99,906,,,
81,99,820,,,
81,99,778,,,
79,99,747,,,
79,99,714,,,
79,99,694,,,
79,99,690,,,
80,99,704,,,
79,99,707,,,
79,99,701,,,
79,99,733,,,
77,99,1030,,,
77,99,891,,,
