hr,t_start_video,gsr,t_start_eis,rr
64,1506692907.579249,62,1506692657.591062,1037
63,,62,724,1001
63,,62,672,940
63,,62,701,867
64,,61,643,774
64,,59,624,874
64,,59,609,1057
63,,61,590,1166
62,,61,611,1096
61,,61,576,1031
61,,61,626,995
61,,61,619,949
61,,61,586,855
62,,61,617,895
63,,61,586,953
63,,61,574,1032
62,,61,595,1083
61,,61,587,1034
61,,59,583,1007
61,,59,596,884
62,,60,590,843
63,,59,607,737
63,,59,594,673
64,,59,580,672
66,,60,572,833
66,,60,561,758
66,,60,551,895
66,,60,536,879
69,,58,533,866
70,,59,530,817
72,,59,544,766
75,,59,548,731
78,,59,637,1027
82,,59,844,956
86,,58,661,1015
89,,59,738,1031
90,,59,728,1020
92,,59,852,1058
94,,59,761,929
96,,59,740,1060
97,,59,680,1080
98,,59,668,1089
98,,59,659,1032
99,,59,821,1007
101,,60,878,1000
102,,60,750,939
104,,60,895,869
106,,61,943,892
106,,61,791,979
106,,61,838,1129
106,,61,816,1113
103,,61,791,1082
99,,61,656,1040
97,,61,617,968
94,,61,612,952
93,,61,694,935
90,,61,960,931
88,,61,864,1112
87,,61,815,1137
84,,61,875,1110
82,,61,914,1063
81,,61,814,1084
79,,62,691,1089
79,,62,676,1098
79,,62,695,1074
79,,62,709,1081
80,,62,750,1043
80,,62,818,1032
79,,62,752,939
78,,61,708,981
76,,61,666,1012
76,,61,608,963
76,,61,617,963
76,,61,588,912
77,,61,555,873
77,,61,571,828
77,,62,611,834
80,,62,668,764
80,,62,967,833
82,,62,870,959
88,,62,856,1064
89,,62,677,968
89,,63,684,838
89,,62,731,771
89,,63,809,698
89,,63,927,693
88,,63,949,722
86,,63,883,914
84,,63,796,993
81,,63,702,911
79,,63,654,927
79,,63,724,823
80,,63,730,833
80,,63,686,784
81,,63,708,747
82,,63,942,714
82,,63,865,682
80,,63,875,640
78,,62,875,650
76,,62,851,642
77,,63,769,943
77,,63,656,949
77,,63,636,894
78,,63,663,924
79,,63,653,852
79,,63,720,838
78,,63,880,839
78,,63,856,828
79,,63,844,750
79,,63,781,765
83,,63,695,840
82,,63,635,809
83,,63,659,826
84,,63,615,856
84,,63,648,884
84,,63,763,940
84,,63,722,834
83,,63,666,689
83,,63,689,708
83,,63,675,658
85,,63,811,683
85,,63,759,1115
85,,63,712,1001
84,,63,689,1025
86,,63,768,1045
86,,62,713,1010
89,,61,739,893
93,,62,672,735
95,,62,657,694
95,,62,689,700
95,,62,707,707
95,,62,708,680
93,,62,743,656
92,,63,666,692
92,,63,628,631
92,,63,586,734
91,,63,572,639
91,,63,579,722
91,,63,561,664
89,,63,559,744
87,,62,568,672
87,,61,612,543
87,,61,685,361
87,,61,858,338
87,,61,889,573
87,,61,833,567
86,,62,773,544
86,,62,701,528
85,,62,642,511
85,,62,616,509
