Kamera 6, videowdth 176, videohight 144, 151.073120832 seconds, 4500 num_frames, 29.7869003778 fps
Kamera 6, videowdth 176, videohight 144, 1506179139.67, Nummer 0
Kamera 6, videowdth 176, videohight 144, 1506179139.67, Nummer 1
Kamera 6, videowdth 176, videohight 144, 1506179139.68, Nummer 2
Kamera 6, videowdth 176, videohight 144, 1506179139.68, Nummer 3
Kamera 6, videowdth 176, videohight 144, 1506179139.7, Nummer 4
Kamera 6, videowdth 176, videohight 144, 1506179139.73, Nummer 5
Kamera 6, videowdth 176, videohight 144, 1506179139.77, Nummer 6
Kamera 6, videowdth 176, videohight 144, 1506179139.8, Nummer 7
Kamera 6, videowdth 176, videohight 144, 1506179139.84, Nummer 8
Kamera 6, videowdth 176, videohight 144, 1506179139.87, Nummer 9
Kamera 6, videowdth 176, videohight 144, 1506179139.9, Nummer 10
Kamera 6, videowdth 176, videohight 144, 1506179139.94, Nummer 11
Kamera 6, videowdth 176, videohight 144, 1506179139.97, Nummer 12
Kamera 6, videowdth 176, videohight 144, 1506179140.0, Nummer 13
Kamera 6, videowdth 176, videohight 144, 1506179140.04, Nummer 14
Kamera 6, videowdth 176, videohight 144, 1506179140.07, Nummer 15
Kamera 6, videowdth 176, videohight 144, 1506179140.1, Nummer 16
Kamera 6, videowdth 176, videohight 144, 1506179140.14, Nummer 17
Kamera 6, videowdth 176, videohight 144, 1506179140.17, Nummer 18
Kamera 6, videowdth 176, videohight 144, 1506179140.2, Nummer 19
Kamera 6, videowdth 176, videohight 144, 1506179140.24, Nummer 20
Kamera 6, videowdth 176, videohight 144, 1506179140.27, Nummer 21
Kamera 6, videowdth 176, videohight 144, 1506179140.3, Nummer 22
Kamera 6, videowdth 176, videohight 144, 1506179140.34, Nummer 23
Kamera 6, videowdth 176, videohight 144, 1506179140.37, Nummer 24
Kamera 6, videowdth 176, videohight 144, 1506179140.4, Nummer 25
Kamera 6, videowdth 176, videohight 144, 1506179140.44, Nummer 26
Kamera 6, videowdth 176, videohight 144, 1506179140.47, Nummer 27
